Team,Classification,Region
Bayshore Christian,A,1
Bayside Academy,A,1
Cottage Hill Christian,A,1
Mobile Christian,A,1
Northside Methodist,A,1
Providence Christian,A,1
St. Luke's,A,1
Alabama Christian,A,2
Fort Dale,A,2
Pike Liberal Arts,A,2
Prattville Christian,A,2
St. James,A,2
Montgomery Academy,A,2
Trinity,A,2
Ellwood Christian,A,3
Holy Spirit,A,3
Pickens Academy,A,3
Donoho,A,3
Tuscaloosa Academy,A,3
Victory Christian,A,3
Hope Christian,A,3
Coosa Christian,A,4
Decatur Heritage,A,4
Lindsay Lane,A,4
Mars Hill,A,4
Shoals Christian,A,4
Westbrook Christian,A,4
Whitesburg Christian,A,4
Faith Academy,AA,1
Glenwood,AA,1
Houston Academy,AA,1
McGill-Toolen,AA,1
Montgomery Catholic,AA,1
St. Michael,AA,1
St. Paul's,AA,1
UMS-Wright,AA,1
American Christian,AA,2
Briarwood,AA,2
John Carroll,AA,2
Lee-Scott,AA,2
Madison Academy,AA,2
Randolph,AA,2
St. John Paul II,AA,2
Westminster Christian,AA,2
Choctaw County,1A,1
Fruitdale,1A,1
Leroy,1A,1
Marengo,1A,1
McIntosh,1A,1
Millry,1A,1
Southern Choctaw,1A,1
Washington County,1A,1
Abbeville,1A,2
Barbour County,1A,2
Brantley,1A,2
Elba,1A,2
Florala,1A,2
Kinston,1A,2
Pleasant Home,1A,2
Samson,1A,2
Breakthrough Charter,1A,3
Francis Marion,1A,3
JF Shields,1A,3
Keith,1A,3
Linden,1A,3
RC Hatch,1A,3
Sweet Water,1A,3
University Charter,1A,3
Billingsley,1A,4
Calhoun,1A,4
Central-Hayneville,1A,4
Georgiana,1A,4
Maplesville,1A,4
McKenzie,1A,4
Red Level,1A,4
Verbena,1A,4
Berry,1A,5
Brilliant,1A,5
Hubbertville,1A,5
Lynn,1A,5
Marion County,1A,5
Pickens County,1A,5
South Lamar,1A,5
Sulligent,1A,5
Alabama Aerospace and Aviation,1A,6
Fayetteville,1A,6
LaFayette,1A,6
Loachapoka,1A,6
Notasulga,1A,6
Wadley,1A,6
Winterboro,1A,6
Woodland,1A,6
Addison,1A,7
Belgreen,1A,7
Cherokee,1A,7
Hackleburg,1A,7
Meek,1A,7
Phillips,1A,7
Red Bay,1A,7
Waterloo,1A,7
Appalachian,1A,8
Cedar Bluff,1A,8
Gaylesville,1A,8
Ragland,1A,8
Spring Garden,1A,8
Valley Head,1A,8
Woodville,1A,8
Chickasaw,2A,1
Clarke County,2A,1
Hillcrest-Evergreen,2A,1
JU Blacksher,2A,1
Luverne,2A,1
Monroe County,2A,1
Thomasville,2A,1
Ariton,2A,2
Cottonwood,2A,2
Geneva County,2A,2
Goshen,2A,2
GW Long,2A,2
Highland Home,2A,2
Houston County,2A,2
Zion Chapel,2A,2
Aliceville,2A,3
Dallas County,2A,3
Greene County,2A,3
Greensboro,2A,3
Isabella,2A,3
Southside-Selma,2A,3
Sumter Central,2A,3
Thorsby,2A,3
BB Comer,2A,4
Central-Coosa,2A,4
Dadeville,2A,4
Horseshoe Bend,2A,4
Lanett,2A,4
Ranburne,2A,4
Randolph County,2A,4
Reeltown,2A,4
Carbon Hill,2A,5
Cleveland,2A,5
Cold Springs,2A,5
Gordo,2A,5
Lamar County,2A,5
Locust Fork,2A,5
Midfield,2A,5
Southeastern,2A,5
Gaston,2A,6
Ohatchee,2A,6
Piedmont,2A,6
Pleasant Valley,2A,6
Saks,2A,6
Vincent,2A,6
Walter Wellborn,2A,6
West End,2A,6
Colbert County,2A,7
Falkville,2A,7
JB Pennington,2A,7
Lexington,2A,7
Phil Campbell,2A,7
Sheffield,2A,7
Tanner,2A,7
Winston County,2A,7
Brindlee Mountain,2A,8
Collinsville,2A,8
Fyffe,2A,8
Ider,2A,8
North Sand Mountain,2A,8
Pisgah,2A,8
Sand Rock,2A,8
Section,2A,8
Escambia County,3A,1
Excel,3A,1
Flomaton,3A,1
Jackson,3A,1
Opp,3A,1
TR Miller,3A,1
Wilcox Central,3A,1
WS Neal,3A,1
Beulah,3A,2
BT Washington,3A,2
Bullock County,3A,2
Daleville,3A,2
Geneva,3A,2
Pike County,3A,2
Slocomb,3A,2
Wicksburg,3A,2
Bibb County,3A,3
Cordova,3A,3
Corner,3A,3
Fultondale,3A,3
Hale County,3A,3
Pleasant Grove,3A,3
Tarrant,3A,3
West Blocton,3A,3
Ashville,3A,4
Childersburg,3A,4
Cleburne County,3A,4
Handley,3A,4
Munford,3A,4
Talladega,3A,4
Weaver,3A,4
White Plains,3A,4
Curry,3A,5
Danville,3A,5
East Lawrence,3A,5
Fayette County,3A,5
Haleyville,3A,5
Hatton,3A,5
Oakman,3A,5
Winfield,3A,5
Etowah,3A,6
Glencoe,3A,6
Hanceville,3A,6
Hokes Bluff,3A,6
Holly Pond,3A,6
Oneonta,3A,6
Susan Moore,3A,6
Vinemont,3A,6
Central-Florence,3A,7
Clements,3A,7
Colbert Heights,3A,7
Elkmont,3A,7
Lauderdale County,3A,7
Rogers,3A,7
West Limestone,3A,7
Wilson,3A,7
Asbury,3A,8
Geraldine,3A,8
DAR,3A,8
Madison County,3A,8
New Hope,3A,8
North Jackson,3A,8
Plainview,3A,8
Sylvania,3A,8
BC Rain,4A,1
Citronelle,4A,1
LeFlore,4A,1
Orange Beach,4A,1
Satsuma,4A,1
Vigor,4A,1
Williamson,4A,1
Andalusia,4A,2
Ashford,4A,2
Carroll,4A,2
Dale County,4A,2
Eufaula,4A,2
Headland,4A,2
New Brockton,4A,2
Straughn,4A,2
Demopolis,4A,3
Holt,4A,3
Jemison,4A,3
Montevallo,4A,3
Northside,4A,3
Selma,4A,3
Shelby County,4A,3
Sipsey Valley,4A,3
Beauregard,4A,4
Charles Henderson,4A,4
Elmore County,4A,4
Greenville,4A,4
Holtville,4A,4
Marbury,4A,4
Tallassee,4A,4
Valley,4A,4
Center Point,4A,5
Dora,4A,5
Fairfield,4A,5
Carver-Birmingham,4A,5
Oak Grove,4A,5
Shades Valley,4A,5
Wenonah,4A,5
Woodlawn,4A,5
Alexandria,4A,6
Anniston,4A,6
Central-Clay County,4A,6
Jacksonville,4A,6
Leeds,4A,6
Lincoln,4A,6
Moody,4A,6
Sylacauga,4A,6
Ardmore,4A,6
Brooks,4A,7
Deshler,4A,7
Hamilton,4A,7
Lawrence County,4A,7
Priceville,4A,7
West Morgan,4A,7
West Point,4A,7
Brewer,4A,8
Cherokee County,4A,8
Crossville,4A,8
Fairview,4A,8
Good Hope,4A,8
Guntersville,4A,8
Hayden,4A,8
Sardis,4A,8
Scottsboro,4A,8
Baldwin County,5A,1
Elberta,5A,1
Gulf Shores,5A,1
Blount,5A,1
Murphy,5A,1
Saraland,5A,1
Spanish Fort,5A,1
Theodore,5A,1
Benjamin Russell,5A,2
Park Crossing,5A,2
Percy Julian,5A,2
Pike Road,5A,2
Rehobeth,5A,2
Russell County,5A,2
Stanhope Elmore,5A,2
Wetumpka,5A,2
Bessemer City,5A,3
Brookwood,5A,3
Central-Tuscaloosa,5A,3
Hillcrest-Tuscaloosa,5A,3
Hueytown,5A,3
McAdory,5A,3
Northridge,5A,3
Paul Bryant,5A,3
Calera,5A,4
Chelsea,5A,4
Chilton County,5A,4
Helena,5A,4
Homewood,5A,4
Mountain Brook,5A,4
Pelham,5A,4
Ramsay,5A,4
Parker,5A,5
Cullman,5A,5
Gardendale,5A,5
Huffman,5A,5
Jasper,5A,5
Minor,5A,5
Mortimer Jordan,5A,5
Jackson-Olin,5A,5
Clay-Chalkville,5A,6
Oxford,5A,6
Pell City,5A,6
Pinson Valley,5A,6
Southside-Gadsden,5A,6
Springville,5A,6
St. Clair County,5A,6
Athens,5A,7
Austin,5A,7
Decatur,5A,7
East Limestone,5A,7
Florence,5A,7
Hartselle,5A,7
Muscle Shoals,5A,7
Russellville,5A,7
Albertville,5A,8
Arab,5A,8
Boaz,5A,8
Columbia,5A,8
Douglas,5A,8
Fort Payne,5A,8
Lee-Huntsville,5A,8
Mae Jemison,5A,8
Alma Bryant,6A,1
Baker,6A,1
Daphne,6A,1
Davidson,6A,1
Fairhope,6A,1
Foley,6A,1
Mary Montgomery,6A,1
Robertsdale,6A,1
Auburn,6A,2
Carver-Montgomery,6A,2
Central-Phenix City,6A,2
Dothan,6A,2
Enterprise,6A,2
JAG,6A,2
Opelika,6A,2
Smiths Station,6A,2
Hewitt-Trussville,6A,3
Hoover,6A,3
Oak Mountain,6A,3
Prattville,6A,3
Spain Park,6A,3
Thompson,6A,3
Tuscaloosa County,6A,3
Vestavia Hills,6A,3
Bob Jones,6A,4
Buckhorn,6A,4
Gadsden City,6A,4
Grissom,6A,4
Hazel Green,6A,4
Huntsville,6A,4
James Clemens,6A,4
Sparkman,6A,4
