winner,winner_score,loser,loser_score,week,type,round
Maplesville,35,Fyffe,6,0,regular,
Pike Road,21,Prattville,14,0,regular,
Auburn,24,Booker (FL),6,0,regular,
Baker,42,Theodore,31,0,regular,
Bob Jones,28,Cullman,3,0,regular,
Central-Phenix City,59,Pinson Valley,16,0,regular,
Daphne,29,McGill-Toolen,28,0,regular,
Davidson,35,Murphy,6,0,regular,
Dothan,42,Layton Chiles (FL),17,0,regular,
Enterprise,31,Andalusia,10,0,regular,
Foley,7,Baldwin County,3,0,regular,
Grissom,35,Lee-Huntsville,0,0,regular,
Hewitt-Trussville,52,JAG,0,0,regular,
Hillcrest-Tuscaloosa,35,Florence,7,0,regular,
Huntsville,43,Hazel Green,6,0,regular,
IMG Academy (FL),34,Hoover,13,0,regular,
James Clemens,35,Gardendale,21,0,regular,
Mary Montgomery,34,Pace (FL),21,0,regular,
Oak Mountain,14,Briarwood,3,0,regular,
Opelika,25,Benjamin Russell,20,0,regular,
Robertsdale,31,LeFlore,20,0,regular,
Smiths Station,24,Shaw (GA),0,0,regular,
Thompson,37,Carver-Montgomery,6,0,regular,
Vestavia Hills,49,Westside (SC),7,0,regular,
Athens,32,Mae Jemison,9,0,regular,
Bessemer City,32,Center Point,0,0,regular,
Buckhorn,27,Decatur,12,0,regular,
Central Carroll (GA),37,Oxford,34,0,regular,
Central-Tuscaloosa,45,Tuscaloosa County,13,0,regular,
Chelsea,51,Charles Henderson,27,0,regular,
Choctawhatchee (FL),21,Gulf Shores,14,0,regular,
Clay-Chalkville,42,Hueytown,15,0,regular,
Fort Payne,21,Scottsboro,19,0,regular,
Hartselle,39,Austin,6,0,regular,
Homewood,51,John Carroll,7,0,regular,
Jackson-Olin,24,Fairfield,0,0,regular,
Jasper,41,Brookwood,6,0,regular,
McAdory,57,Pleasant Grove,7,0,regular,
Minor,46,Dora,0,0,regular,
Mountain Brook,44,Demopolis,7,0,regular,
Muscle Shoals,24,Gadsden City,6,0,regular,
Northridge,41,Calera,21,0,regular,
Parker,41,Ramsay,13,0,regular,
Pell City,22,Pelham,14,0,regular,
Percy Julian,23,Paul Bryant,2,0,regular,
Russell County,42,Carroll,14,0,regular,
Saraland,17,Jackson,6,0,regular,
Shades Valley,15,Woodlawn,12,0,regular,
Spain Park,48,Sparkman,21,0,regular,
Spanish Fort,37,Fairhope,7,0,regular,
Stanhope Elmore,28,Marbury,6,0,regular,
Wetumpka,36,Beauregard,19,0,regular,
Ashville,27,Springville,21,0,regular,
Arab,18,Albertville,14,0,regular,
Ardmore,44,Tanner,6,0,regular,
BC Rain,34,Hillcrest-Evergreen,20,0,regular,
Boaz,28,Madison County,7,0,regular,
Brewer,26,Hayden,6,0,regular,
Central Clay County,36,Handley,3,0,regular,
Citronelle,35,Millry,0,0,regular,
Corner,34,Winfield,20,0,regular,
Elmore County,31,Dadeville,30,0,regular,
Eufaula,32,BT Washington,18,0,regular,
Fairview,48,Fultondale,0,0,regular,
Gainesville (GA),49,Moody,7,0,regular,
Greenville,34,Georgiana,6,0,regular,
Headland,33,Dale County,20,0,regular,
