home,home_score,away,away_score,week,type,round,date,status
Wadley,46,Horseshoe Bend,13,0,regular,,2026-08-20,final
Thorsby,46,Jemison,20,0,regular,,2026-08-20,final
Childersburg,35,BB Comer,6,0,regular,,2026-08-20,final
Tanner,33,Elkmont,0,0,regular,,2026-08-21,final
Pisgah,0,Randolph,47,0,regular,,2026-08-20,final
Talladega,29,Lincoln,36,0,regular,,2026-08-20,final
Oakman,7,Cordova,48,0,regular,,2026-08-20,final
Etowah,0,Cleburne County,21,0,regular,,2026-08-20,final
Susan Moore,0,Cleveland,37,0,regular,,2026-08-20,final
Carroll,31,Rehobeth,24,0,regular,,2026-08-20,final
Greenville,44,Hillcrest-Evergreen,20,0,regular,,2026-08-20,final
Ardmore,27,East Limestone,26,0,regular,,2026-08-21,final
Spanish Fort,18,Daphne,15,0,regular,,2026-08-20,final
Ramsay,35,Jackson-Olin,13,0,regular,,2026-08-20,final
Gardendale,7,St. Clair County,34,0,regular,,2026-08-20,final
Huffman,41,Hazel Green,3,0,regular,,2026-08-20,final
Vestavia Hills,32,Parker,14,0,regular,,2026-08-20,final
Grissom,,North Jackson,,0,regular,,2026-08-20,scheduled
Trinity,26,Bibb County,16,0,regular,,2026-08-20,final
Hope Christian,48,Donoho,7,0,regular,,2026-08-20,final
Whitesburg Christian,35,St. John Paul II,0,0,regular,,2026-08-20,final
American Christian,28,Northridge,14,0,regular,,2026-08-20,final
Marengo,0,JU Blacksher,3,0,regular,,2026-08-21,final
Millry,0,Cottage Hill Christian,53,0,regular,,2026-08-21,final
Washington County,0,Clarke County,29,0,regular,,2026-08-21,final
Abbeville,6,Headland,41,0,regular,,2026-08-21,final
Florala,35,Georgiana,19,0,regular,,2026-08-21,final
Zion Chapel,6,Kinston,37,0,regular,,2026-08-21,final
Linden,30,Excel,8,0,regular,,2026-08-21,final
Central-Hayneville,36,Notasulga,10,0,regular,,2026-08-21,final
Berry,22,Hale County,42,0,regular,,2026-08-21,final
Fayetteville,12,Central-Coosa,18,0,regular,,2026-08-21,final
Loachapoka,40,Lanett,20,0,regular,,2026-08-21,final
Winterboro,28,Vincent,15,0,regular,,2026-08-21,final
Red Bay,36,Phil Campbell,20,0,regular,,2026-08-21,final
Ragland,21,Victory Christian,43,0,regular,,2026-08-21,final
Woodville,48,Belgreen,8,0,regular,,2026-08-21,final
Chickasaw,20,Satsuma,44,0,regular,,2026-08-21,final
Thomasville,22,Leroy,21,0,regular,,2026-08-21,final
Ariton,,"Blountstown, FL",,0,regular,,"Aug. 21, 2026",scheduled
Houston County,0,Ashford,47,0,regular,,2026-08-21,final
Aliceville,39,Pickens County,0,0,regular,,2026-08-21,final
Dallas County,40,Breakthrough Charter,8,0,regular,,2026-08-21,final
Sumter Central,6,Choctaw County,50,0,regular,,2026-08-21,final
Dadeville,46,St. James,13,0,regular,,2026-08-21,final
Randolph County,14,Woodland,28,0,regular,,2026-08-21,final
Gordo,33,Fayette County,27,0,regular,,2026-08-21,final
Locust Fork,20,Appalachian,43,0,regular,,2026-08-21,final
Ohatchee,,New Hope,,0,regular,,2026-08-21,scheduled
Piedmont,8,Jacksonville,34,0,regular,,2026-08-21,final
Walter Wellborn,53,Weaver,0,0,regular,,2026-08-21,final
West End,15,Cedar Bluff,20,0,regular,,2026-08-21,final
Sheffield,0,Haleyville,49,0,regular,,2026-08-21,final
Winston County,0,Addison,48,0,regular,,2026-08-21,final
Ider,34,Valley Head,0,0,regular,,2026-08-20,final
North Sand Mountain,23,Southeastern,7,0,regular,,2026-08-21,final
Jackson,13,Citronelle,22,0,regular,,2026-08-21,final
TR Miller,14,Orange Beach,24,0,regular,,2026-08-21,final
WS Neal,10,Bullock County,20,0,regular,,2026-08-21,final
Wilcox Central,22,JF Shields,12,0,regular,,2026-08-21,final
Beulah,47,LaFayette,31,0,regular,,2026-08-21,final
Geneva,34,Geneva County,28,0,regular,,2026-08-21,final
Pike County,14,Luverne,52,0,regular,,2026-08-21,final
Wicksburg,25,Elba,16,0,regular,,2026-08-21,final
Corner,42,Dora,0,0,regular,,2026-08-21,final
Tarrant,7,Montevallo,33,0,regular,,2026-08-21,final
Curry,42,Meek,14,0,regular,,2026-08-21,final
Hanceville,28,Carbon Hill,59,0,regular,,2026-08-21,final
Oneonta,42,Pleasant Grove,41,0,regular,,2026-08-21,final
Geraldine,54,Anniston,6,0,regular,,2026-08-21,final
Sylvania,8,Collinsville,24,0,regular,,2026-08-21,final
Andalusia,0,Wetumpka,19,0,regular,,2026-08-21,final
Dale County,41,GW Long,14,0,regular,,2026-08-21,final
Eufaula,8,Montgomery Catholic,19,0,regular,,2026-08-21,final
New Brockton,12,Opp,36,0,regular,,2026-08-21,final
Straughn,,Daleville,,0,regular,,"Aug. 21, 2026",scheduled
Holt,42,RC Hatch,0,0,regular,,2026-08-21,final
Selma,62,Carver-Birmingham,0,0,regular,,2026-08-21,final
Sipsey Valley,48,Marion County,12,0,regular,,2026-08-21,final
Beauregard,0,Reeltown,27,0,regular,,2026-08-21,final
Marbury,35,Shelby County,6,0,regular,,2026-08-21,final
Shades Valley,20,JAG,7,0,regular,,2026-08-21,final
Wenonah,14,Calera,24,0,regular,,2026-08-21,final
Woodlawn,8,Park Crossing,21,0,regular,,2026-08-21,final
Central-Clay County,,Fyffe,,0,regular,,2026-08-21,scheduled
Moody,7,Briarwood,35,0,regular,,2026-08-21,final
Sylacauga,35,Holtville,7,0,regular,,2026-08-21,final
Lawrence County,34,East Lawrence,12,0,regular,,2026-08-21,final
Priceville,46,Brewer,0,0,regular,,2026-08-21,final
Crossville,24,Asbury,13,0,regular,,2026-08-21,final
Good Hope,24,Plainview,31,0,regular,,2026-08-21,final
Guntersville,0,Arab,14,0,regular,,2026-08-21,final
Hayden,8,Glencoe,35,0,regular,,2026-08-21,final
Scottsboro,20,Fort Payne,14,0,regular,,2026-08-21,final
Baldwin County,40,BC Rain,22,0,regular,,2026-08-21,final
Elberta,0,Escambia County,60,0,regular,,2026-08-21,final
Russell County,55,BT Washington,7,0,regular,,2026-08-21,final
Bessemer City,31,Pell City,14,0,regular,,2026-08-21,final
Central-Tuscaloosa,27,Center Point,0,0,regular,,2026-08-21,final
Hueytown,18,Mountain Brook,60,0,regular,,2026-08-21,final
Mortimer Jordan,41,Fultondale,0,0,regular,,2026-08-21,final
Southside-Gadsden,30,Chelsea,7,0,regular,,2026-08-21,final
Athens,28,West Morgan,6,0,regular,,2026-08-21,final
Austin,24,James Clemens,45,0,regular,,2026-08-21,final
Hartselle,35,Bob Jones,6,0,regular,,2026-08-21,final
Russellville,28,Deshler,27,0,regular,,2026-08-21,final
Albertville,20,Paul Bryant,13,0,regular,,2026-08-21,final
Lee-Huntsville,6,McAdory,51,0,regular,,2026-08-21,final
Davidson,20,Theodore,37,0,regular,,2026-08-21,final
Mary Montgomery,14,Saraland,33,0,regular,,2026-08-21,final
Auburn,42,Hewitt-Trussville,56,0,regular,,2026-08-21,final
Enterprise,40,Pike Road,38,0,regular,,2026-08-21,final
Smiths Station,,Northside - Columbus GA,,0,regular,,"Aug. 21, 2026",scheduled
Oak Mountain,38,Pelham,45,0,regular,,2026-08-21,final
Tuscaloosa County,0,Hillcrest-Tuscaloosa,64,0,regular,,2026-08-21,final
Buckhorn,,Decatur,,0,regular,,2026-08-21,scheduled
Gadsden City,28,Oxford,56,0,regular,,2026-08-21,final
Huntsville,14,Jasper,28,0,regular,,2026-08-21,final
Sparkman,13,Spain Park,17,0,regular,,2026-08-21,final
Mobile Christian,36,McIntosh,0,0,regular,,2026-08-21,final
Montgomery Academy,34,Tallassee,7,0,regular,,2026-08-21,final
Pike Liberal Arts,27,Brantley,48,0,regular,,2026-08-21,final
Prattville Christian,47,Goshen,0,0,regular,,2026-08-21,final
Pickens Academy,40,Vina,0,0,regular,,2026-08-21,final
Tuscaloosa Academy,33,Sulligent,12,0,regular,,2026-08-21,final
Lindsay Lane,21,Brindlee Mountain,6,0,regular,,2026-08-21,final
McGill-Toolen,52,Foley,35,0,regular,,2026-08-21,final
St. Paul's,58,Alma Bryant,28,0,regular,,2026-08-21,final
Westminster Christian,14,Madison County,49,0,regular,,2026-08-21,final
Christian Collegiate Academy,,St. Luke's,,0,regular,,"Aug. 21, 2026",scheduled
Oak Grove,,Alabama Christian,,0,regular,,2026-08-21,scheduled
Ariton,14,Blountstown FL,49,0,regular,,2026-08-21,final
Ashville,19,Springville,18,0,regular,,2026-08-21,final
Baker,0,Williamson,33,0,regular,,2026-08-21,final
Barbour County,,Slocomb,,0,regular,,2026-08-21,scheduled
Fruitdale,6,Bayshore Christian,14,0,regular,,2026-08-21,final
Boaz,21,Cullman,14,0,regular,,2026-08-21,final
Hatton,27,Brooks,20,0,regular,,2026-08-21,final
Calhoun,0,Keith,36,0,regular,,2026-08-21,final
Elmore County,44,Chilton County,29,0,regular,,2026-08-21,final
Creekside GA,20,Clay-Chalkville,29,0,regular,,2026-08-21,final
Shoals Christian,16,Clements,47,0,regular,,2026-08-21,final
Colbert Heights,12,Colbert County,44,0,regular,,2026-08-21,final
Columbia,41,Greensboro,14,0,regular,,2026-08-22,final
Coosa Christian,0,Pierce County GA,55,0,regular,,2026-08-21,final
Cottonwood,40,Valwood GA,21,0,regular,,2026-08-21,final
Ellwood Christian,8,Francis Marion,30,0,regular,,2026-08-22,final
Fairfield,34,Midfield,8,0,regular,,2026-08-21,final
West Point,19,Fairview,27,0,regular,,2026-08-21,final
Vinemont,48,Falkville,0,0,regular,,2026-08-21,final
Sweet Water,0,Flomaton,30,0,regular,,2026-08-21,final
Pinson Valley,0,Florence,45,0,regular,,2026-08-21,final
Spring Garden,12,Gaston,36,0,regular,,2026-08-20,final
Gulf Shores,30,Parklane Academy MS,21,0,regular,,2026-08-21,final
JB Pennington,0,Holly Pond,20,0,regular,,2026-08-21,final
Holy Spirit,35,Waterloo,0,0,regular,,2026-08-21,final
John Carroll,14,Homewood,31,0,regular,,2026-08-21,final
Hoover,14,Muscle Shoals,8,0,regular,,2026-08-21,final
Hubbertville,28,University Charter,22,0,regular,,2026-08-21,final
South Lamar,14,Lamar County,20,0,regular,,2026-08-21,final
Lexington,20,Lauderdale County,19,0,regular,,2026-08-20,final
LeFlore,22,Robertsdale,16,0,regular,,2026-08-21,final
Mars Hill,24,Madison Academy,21,0,regular,,2026-08-21,final
Northside,49,Winfield,27,0,regular,,2026-08-21,final
Carver-Montgomery,44,Percy Julian,0,0,regular,,2026-08-21,final
Pleasant Home,,Red Level,,0,regular,,2026-08-21,scheduled
Pleasant Valley,26,White Plains,7,0,regular,,2026-08-21,final
Niceville FL,7,Prattville,49,0,regular,,2026-08-21,final
Sardis,0,Haralson County GA,40,0,regular,,2026-08-21,final
Smiths Station,6,Northside GA,29,0,regular,,2026-08-21,final
St. Michael,18,Battle Ground Academy TN,41,0,regular,,2026-08-22,final
Central-Phenix City,14,Thompson,41,0,regular,,2026-08-20,final
Jackson Prep MS,42,UMS-Wright,35,0,regular,,2026-08-21,final
Blount,7,Vigor,28,0,regular,,2026-08-22,final
Brilliant,32,Phillips,0,0,regular,,2026-08-21,final
Dothan,35,Bay Panama City FL,28,0,regular,,2026-08-21,final
Pace FL,41,Fairhope,0,0,regular,,2026-08-21,final
Holmes County FL,49,Fort Dale,10,0,regular,,2026-08-21,final
Lee-Scott,0,Glenwood,7,0,regular,,2026-08-21,final
Brookwood GA,30,Northside Methodist,7,0,regular,,2026-08-21,final
Abbeville,14,Ashford,36,1,regular,,2026-08-28,final
Barbour County,0,Abbeville,28,2,regular,,2026-09-04,final
Pleasant Home,,Abbeville,,3,regular,,2026-09-11,scheduled
Elba,,Abbeville,,4,regular,,2026-09-18,scheduled
Abbeville,,Brantley,,6,regular,,2026-10-02,scheduled
Florala,,Abbeville,,7,regular,,2026-10-09,scheduled
Abbeville,,Kinston,,8,regular,,2026-10-16,scheduled
Abbeville,,Samson,,9,regular,,2026-10-23,scheduled
Daleville,,Abbeville,,10,regular,,2026-10-30,scheduled
Addison,35,Lynn,0,1,regular,,2026-08-28,final
Waterloo,7,Addison,60,2,regular,,2026-09-04,final
Phillips,,Addison,,3,regular,,2026-09-11,scheduled
Addison,,Meek,,4,regular,,2026-09-18,scheduled
Addison,,Oakman,,5,regular,,2026-09-25,scheduled
Addison,,Belgreen,,6,regular,,2026-10-02,scheduled
Cherokee,,Addison,,7,regular,,2026-10-09,scheduled
Red Bay,,Addison,,8,regular,,2026-10-16,scheduled
Addison,,Hackleburg,,9,regular,,2026-10-23,scheduled
Alabama Christian,41,Georgiana,0,1,regular,,2026-08-28,final
Montgomery Academy,56,Alabama Christian,7,2,regular,,2026-09-04,final
Alabama Christian,,Trinity,,3,regular,,2026-09-11,scheduled
Alabama Christian,,Prattville Christian,,4,regular,,2026-09-18,scheduled
Sweet Water,,Alabama Christian,,5,regular,,2026-09-25,scheduled
Alabama Christian,,Wadley,,6,regular,,2026-10-02,scheduled
Alabama Christian,,Fort Dale,,7,regular,,2026-10-09,scheduled
St. James,,Alabama Christian,,8,regular,,2026-10-16,scheduled
Pike Liberal Arts,,Alabama Christian,,9,regular,,2026-10-23,scheduled
Hazel Green,27,Albertville,57,1,regular,,2026-08-28,final
Albertville,14,Arab,35,2,regular,,"Sep. 4, 2026",final
Boaz,,Albertville,,3,regular,,2026-09-11,scheduled
Albertville,,Douglas,,4,regular,,2026-09-18,scheduled
Mae Jemison,,Albertville,,6,regular,,2026-10-02,scheduled
Albertville,,Lee-Huntsville,,7,regular,,2026-10-09,scheduled
Columbia,,Albertville,,8,regular,,2026-10-16,scheduled
Albertville,,Fort Payne,,9,regular,,2026-10-23,scheduled
Guntersville,,Albertville,,10,regular,,2026-10-30,scheduled
Alexandria,51,Coosa Christian,7,1,regular,,2026-08-28,final
Alexandria,35,Moody,28,2,regular,,2026-09-04,final
Lincoln,,Alexandria,,3,regular,,2026-09-11,scheduled
Sylacauga,,Alexandria,,4,regular,,2026-09-18,scheduled
Piedmont,,Alexandria,,5,regular,,2026-09-25,scheduled
Alexandria,,Central-Clay County,,6,regular,,2026-10-02,scheduled
Leeds,,Alexandria,,8,regular,,2026-10-16,scheduled
Alexandria,,Jacksonville,,9,regular,,2026-10-23,scheduled
Alexandria,,Handley,,10,regular,,2026-10-30,scheduled
Holt,16,Aliceville,33,1,regular,,2026-08-28,final
Aliceville,42,Thorsby,30,2,regular,,2026-09-04,final
Isabella,,Aliceville,,3,regular,,2026-09-11,scheduled
Aliceville,,Southside-Selma,,4,regular,,2026-09-18,scheduled
Sipsey Valley,,Aliceville,,5,regular,,2026-09-25,scheduled
Aliceville,,Dallas County,,6,regular,,2026-10-02,scheduled
Greensboro,,Aliceville,,7,regular,,2026-10-09,scheduled
Aliceville,,Greene County,,8,regular,,2026-10-16,scheduled
Sumter Central,,Aliceville,,9,regular,,2026-10-23,scheduled
Greenville,20,Alma Bryant,23,1,regular,,2026-08-28,final
Alma Bryant,21,Daphne,42,2,regular,,2026-09-04,final
Alma Bryant,,Foley,,3,regular,,2026-09-10,scheduled
Alma Bryant,,Mary Montgomery,,4,regular,,2026-09-18,scheduled
LeFlore,,Alma Bryant,,5,regular,,2026-09-25,scheduled
Alma Bryant,,Fairhope,,6,regular,,2026-10-02,scheduled
Robertsdale,,Alma Bryant,,7,regular,,2026-10-09,scheduled
Baker,,Alma Bryant,,8,regular,,2026-10-16,scheduled
Davidson,,Alma Bryant,,9,regular,,2026-10-22,scheduled
John Carroll,7,American Christian,51,2,regular,,"Sep. 4, 2026",final
American Christian,,Randolph,,3,regular,,2026-09-11,scheduled
St. John Paul II,,American Christian,,4,regular,,2026-09-18,scheduled
Tuscaloosa Academy,,American Christian,,5,regular,,2026-09-25,scheduled
American Christian,,Lee-Scott,,6,regular,,2026-10-02,scheduled
American Christian,,Madison Academy,,7,regular,,2026-10-09,scheduled
