Overall Rank,Team,Classification,Region,Rating,Class Rank,Region Rank
1,Thompson,6A,Region 3,36.97,1,1
2,Clay-Chalkville,5A,Region 6,33.9,1,1
3,Central-Phenix City,6A,Region 2,32.51,2,1
4,Auburn,6A,Region 2,31.22,3,2
5,Vestavia Hills,6A,Region 3,31.08,4,2
6,Saraland,5A,Region 1,30.83,2,1
7,Spain Park,6A,Region 3,29.23,5,3
8,Hewitt-Trussville,6A,Region 3,29.2,6,4
9,Opelika,6A,Region 2,29.17,7,3
10,Muscle Shoals,5A,Region 7,28.1,3,1
11,Hoover,6A,Region 3,27.58,8,5
12,Baker,6A,Region 1,27.4,9,1
13,Mary Montgomery,6A,Region 1,26.66,10,2
14,Jackson,3A,Region 1,26.51,1,1
15,Benjamin Russell,5A,Region 2,26.26,4,1
16,Carver-Montgomery,6A,Region 2,25.87,11,4
17,Prattville,6A,Region 3,25.86,12,6
18,Daphne,6A,Region 1,25.66,13,3
19,Fairhope,6A,Region 1,25.51,14,4
20,Homewood,5A,Region 4,24.68,5,1
21,Moody,4A,Region 6,24.34,1,1
22,Mountain Brook,5A,Region 4,24.03,6,2
23,Enterprise,6A,Region 2,24.03,15,5
24,St. Michael,AA,Region 1,23.95,1,1
25,Parker,5A,Region 5,23.85,7,1
26,Hartselle,5A,Region 7,23.36,8,2
27,Dothan,6A,Region 2,23.15,16,6
28,Pike Road,5A,Region 2,22.95,9,2
29,Williamson,4A,Region 1,22.89,2,1
30,James Clemens,6A,Region 4,22.58,17,1
31,Mars Hill,A,Region 4,21.6,1,1
32,Central-Clay County,4A,Region 6,21.32,3,2
33,Anniston,4A,Region 6,21.25,4,3
34,Hueytown,5A,Region 3,21.15,10,1
35,McAdory,5A,Region 3,21.13,11,2
36,Vigor,4A,Region 1,20.82,5,2
37,Oak Mountain,6A,Region 3,20.77,18,7
38,Scottsboro,4A,Region 8,20.64,6,1
39,Hillcrest-Tuscaloosa,5A,Region 3,20.57,12,3
40,Theodore,5A,Region 1,20.54,13,2
41,Gadsden City,6A,Region 4,20.21,19,2
42,Ramsay,5A,Region 4,19.41,14,3
43,Russell County,5A,Region 2,18.97,15,3
44,Fort Payne,5A,Region 8,18.92,16,1
45,Pinson Valley,5A,Region 6,18.52,17,2
46,Central-Tuscaloosa,5A,Region 3,18.42,18,4
47,Jasper,5A,Region 5,18.24,19,2
48,Oxford,5A,Region 6,18.23,20,3
49,Bessemer City,5A,Region 3,18.07,21,5
50,Austin,5A,Region 7,18.05,22,3
51,Fairview,4A,Region 8,17.64,7,2
52,Pell City,5A,Region 6,17.63,23,4
53,Alexandria,4A,Region 6,17.58,8,4
54,Huntsville,6A,Region 4,17.49,20,3
55,Sparkman,6A,Region 4,17.42,21,4
56,Russellville,5A,Region 7,17.36,24,4
57,Spanish Fort,5A,Region 1,17.25,25,3
58,Briarwood,AA,Region 2,16.96,2,1
