AHSAA WEEK 3 Football,,,,,,,,,,
"THURSDAY GAMES - SEPTEMBER 10, 2026",,,,,,,,,,
DATE,TIME,HOME,CLASS,REG,SCORE,VISITOR,CLASS,REG,SCORE,SITE
,,AHSAA WOTM GAME OF THE WEEK,,,,,,,,
09-11-2026,7:00 PM,Demopolis HS,4A,R-3,20,Northside HS,4A,R-3,49,Demopolis HS
,,OTHER THURSDAY GAMES,,,,,,,,
09-11-2026,9:00 PM,Notasulga HS,1A,R-6,0,Woodland HS,1A,R-6,45,Notasulga HS
09-11-2026,7:00 PM,Monroe County HS,2A,R-1,25,Thomasville HS,2A,R-1,43,Monroe County HS
09-11-2026,7:00 PM,Charles Henderson HS,4A,R-4,42,Beauregard HS,4A,R-4,0,Troy U.
09-11-2026,7:00 PM,G.W. Carver-Birmingham HS,4A,R-5,0,Center Point HS,4A,R-5,43,G.W. Carver-Birmingham HS
09-11-2026,7:00 PM,Holtville HS,4A,R-4,16,Elmore County HS,4A,R-4,26,Holtville HS
09-11-2026,7:00 PM,Mountain Brook HS,5A,R-4,37,Helena HS,5A,R-4,0,Mountan Brook HS
09-11-2026,7:00 PM,Alma Bryant HS,6A,R-1,26,Foley HS,6A,R-1,28,Alma Bryant HS
09-11-2026,7:00 PM,St. John Paul II Catholic HS,Double AA,R-2,0,John Carroll Catholic,Double AA,R-2,44,Joe Davis Stadium
09-11-2026,7:00 PM,Pine Forest HS,FHSAA,n/a,18,Williamson HS,4A,R-1,19,Pine Forest HS
09-11-200099,,,,,,,,,,
AHSAA WEEK 3 FOOTBALL SCHEDULE,,,,,,,,,,
"FRIDAY GAMES - SEPTEMBER 11, 2026",,,,,,,,,,
DATE,TIME,HOME,CLASS,REG,SCORE,VISITOR,CLASS,REG,SCORE,SITE
,,,,,,,,,,
09-11-2026,7:00 PM,Alabama Christian Academy,Single A,R-2,15,Trinity Presbyterian Schools,Single A,R-2,29,Faulkner University
09-11-2026,7:00 PM,Bayside Academy,Single A,R-1,55,St. Luke's Episcopal School,Single A,R-1,6,Bayside Academy
09-11-2026,7:00 PM,Coosa Christian School,Single A,R-4,7,Westbrook Christian School,Single A,R-4,63,Coosa Christian School
09-11-2026,7:00 PM,Cottage Hill Christian,Single A,R-1,42,Snook Christian,Single A,R-1,0,Cottage Hill Christian
09-11-2026,7:00 PM,Donoho School,Single A,R-3,35,Holy Spirit Catholic School,Single A,R-3,32,The Donoho School
09-11-2026,7:00 PM,Lindsay Lane Christian,Single A,R-4,6,Decatur Heritage,Single A,R-4,15,Lindsay Lane Christian Academy
09-11-2026,7:00 PM,Mars Hill Bible School,Single A,R-4,44,Shoals Christian School,Single A,R-4,0,Mars Hill Bible School
09-11-2026,7:00 PM,Mobile Christian School,Single A,R-1,63,Northside Methodist,Single A,R-1,0,Mobile Christian School
09-11-2026,7:00 PM,Pickens Academy,Single A,R-3,6,Hope Christian Academy,Single A,R-3,27,Pickens Academy
09-11-2026,7:00 PM,Prattville Christian Academy,Single A,R-2,41,Pike Liberal Arts School,Single A,R-2,12,Prattville Christian Academy
09-11-2026,7:00 PM,Providence Christian School,Single A,R-1,57,Bayshore Christian School,Single A,R-1,20,Providence Christian School
09-11-2026,7:00 PM,Saint James School,Single A,R-2,15,Fort Dale Academy,Single A,R-2,0,Saint James School
09-11-2026,7:00 PM,Victory Christian School,Single A,R-3,49,Ellwood Christian Academy,Single A,R-3,6,Victory Christian School
09-11-2026,7:00 PM,American Christian Academy,Double AA,R-2,50,Randolph School,Double AA,R-2,21,American Christian Academy
09-11-2026,7:00 PM,Glenwood School,Double AA,R-1,33,St. Paul's Episcopal School,Double AA,R-1,38,Glenwood School
09-11-2026,7:00 PM,Lee-Scott Academy,Double AA,R-2,0,Briarwood Christian School,Double AA,R-2,42,Jud-Scott Field
09-11-2026,7:00 PM,McGill-Toolen Catholic HS,Double AA,R-1,20,St. Michael Catholic HS,Double AA,R-1,17,McGill- Toolen Athletic Complex
09-11-2026,7:00 PM,Montgomery Catholic School,Double AA,R-1,28,Houston Academy,Double AA,R-1,0,Montgomery Catholic
09-11-2026,7:00 PM,UMS-Wright School,Double AA,R-1,35,Faith Academy,Double AA,R-1,10,UMS-Wright
09-11-2026,7:00 PM,Westminster Christian Academy,Double AA,R-2,0,Madison Academy,Double AA,R-2,52,Earl Van Dyke Stadium
09-11-2026,7:00 PM,Buckhorn HS,6A,R-4,17,Huntsville HS,6A,R-4,7,Buckhorn HS
09-11-2026,7:00 PM,Daphne HS,6A,R-1,22,Baker HS,6A,R-1,19,Daphne HS
09-11-2026,7:00 PM,Davidson HS,6A,R-1,14,Robertsdale HS,6A,R-1,28,Davidson HS
09-11-2026,7:00 PM,Dothan HS,6A,R-2,14,Carver HS - Montgomery,6A,R-2,34,Rip Hewes Stadium
09-11-2026,7:00 PM,Enterprise HS,6A,R-2,21,Auburn HS,6A,R-2,28,Enterprise HS
09-11-2026,7:00 PM,Grissom HS,6A,R-4,7,Bob Jones HS,6A,R-4,38,Milton Frank Stadium
09-11-2026,7:00 PM,Hazel Green HS,6A,R-4,17,Sparkman HS,6A,R-4,59,Hazel Green HS
09-11-2026,7:00 PM,Hoover HS,6A,R-3,29,Prattville HS,6A,R-3,30,Hoover HS
09-11-2026,7:00 PM,James Clemens HS,6A,R-4,42,Gadsden City HS,6A,R-4,15,James Clemens HS
09-11-2026,7:00 PM,Jnohnson Abernathy Graetz HS,6A,R-2,29,Smiths Station,6A,R-2,12,Cramton Bowl
09-11-2026,7:00 PM,Mary Montgomery HS,6A,R-1,14,Fairhope HS,6A,R-1,24,Mary Montgomery HS
09-11-2026,7:00 PM,Opelika HS,6A,R-2,24,"Central HS, Phenix City",6A,R-2,31,Opelika HS
09-11-2026,7:00 PM,Spain Park HS,6A,R-3,14,Thompson HS,6A,R-3,48,Spain Park HS
09-11-2026,7:00 PM,Tuscaloosa County HS,6A,R-3,0,Hewitt-Trussville HS,6A,R-3,49,Tuscaloosa County HS
09-11-2026,7:00 PM,Vestavia Hills HS,6A,R-3,43,Oak Mountain HS,6A,R-3,13,Vestavia Hills HS
09-11-2026,7:00 PM,Arab HS,5A,R-8,56,Lee HS,5A,R-8,33,SportsPlex - Arab City Schools
09-11-2026,7:00 PM,Austin HS,5A,R-7,7,Muscle Shoals HS,5A,R-7,26,Austin High Stadium
09-11-2026,7:00 PM,Benjamin Russell HS,5A,R-2,35,Stanhope Elmore HS,5A,R-2,9,Benjamin Russell HS
09-11-2026,7:00 PM,Boaz HS,5A,R-8,28,Albertville HS,5A,R-8,7,"L.F. Corley, Jr. Stadium"
09-11-2026,7:00 PM,Brookwood HS,5A,R-3,19,Northridge HS,5A,R-3,45,Brookwood HS
09-11-2026,7:00 PM,Calera HS,5A,R-4,28,Chilton County HS,5A,R-4,21,Calera HS
09-11-2026,7:00 PM,Chelsea HS,5A,R-4,0,Ramsay HS,5A,R-4,39,Chelsea HS
09-11-2026,7:00 PM,Columbia HS,5A,R-8,21,Fort Payne HS,5A,R-8,28,Joe Davis Stadium
09-11-2026,7:00 PM,Cullman HS,5A,R-5,23,Mortimer Jordan HS,5A,R-5,35,Cullman HS
09-11-2026,7:00 PM,Decatur HS,5A,R-7,13,Athens HS,5A,R-7,28,Ogle Stadium
09-11-2026,7:00 PM,Douglas HS,5A,R-8,27,Mae Jemison HS,5A,R-8,18,Douglas HS
09-11-2026,7:00 PM,Elberta HS,5A,R-1,6,Murphy HS,5A,R-1,33,Elberta HS
09-11-2026,7:00 PM,Gardendale HS,5A,R-5,45,Jasper HS,5A,R-5,17,Gardendale HS
09-11-2026,7:00 PM,Gulf Shores HS,5A,R-1,30,Mattie T. Blount HS,5A,R-1,29,Gulf Shores SportsPlex
09-11-2026,7:00 PM,"Hillcrest HS, Tuscaloosa",5A,R-3,53,"Central HS, Tuscaloosa",5A,R-3,13,"Hillcrest HS, Tuscaloosa"
09-11-2026,7:00 PM,Jackson-Olin HS,5A,R-5,0,A.H. Parker HS,5A,R-5,35,P.D. Jackson-Olin HS
09-11-2026,7:00 PM,McAdory HS,5A,R-3,35,Bessemer City HS,5A,R-3,27,McAdory HS
09-11-2026,7:00 PM,Minor HS,5A,R-5,37,Huffman HS,5A,R-5,14,Minor HS
09-11-2026,7:00 PM,Oxford HS,5A,R-6,41,Pell City HS,5A,R-6,7,Oxford HS
09-11-2026,7:00 PM,Paul W. Bryant HS,5A,R-3,50,Hueytown HS,5A,R-3,13,Paul W. Bryant HS
09-11-2026,7:00 PM,Pelham HS,5A,R-4,7,Homewood HS,5A,R-4,42,Pelham HS
09-11-2026,7:00 PM,Pike Road HS,5A,R-2,64,Park Crossing HS,5A,R-2,35,Pike Road HS
09-11-2026,7:00 PM,Rehobeth HS,5A,R-2,14,Percy Julian HS,5A,R-2,19,Rehobeth HS
09-11-2026,7:00 PM,Russellville HS,5A,R-7,21,Florence HS,5A,R-7,35,Golden Tiger Stadium
09-11-2026,7:00 PM,Saraland HS,5A,R-1,59,Theodore HS,5A,R-1,9,Saraland HS
09-11-2026,7:00 PM,Southside HS,5A,R-6,3,Clay-Chalkville HS,5A,R-6,55,"Southside HS, Gadsden"
09-11-2026,7:00 PM,Spanish Fort HS,5A,R-1,28,Baldwin County HS,5A,R-1,0,Spanish Fort HS
09-11-2026,7:00 PM,St. Clair County HS,5A,R-6,36,Springville HS,5A,R-6,0,Mickey Venable Football Field
09-11-2026,7:00 PM,Wetumpka HS,5A,R-2,29,Russell County HS,5A,R-2,32,Wetumpka HS
09-11-2026,7:00 PM,Andalusia HS,4A,R-2,35,Carroll HS,4A,R-2,7,Andalusia HS
09-11-2026,7:00 PM,Anniston HS,4A,R-6,28,Moody HS,4A,R-6,31,Anniston HS
09-11-2026,7:00 PM,Ashford HS,4A,R-2,33,Headland HS,4A,R-2,14,Ashford HS
09-11-2026,7:00 PM,B.C. Rain HS,4A,R-1,20,Satsuma HS,4A,R-1,21,"Ben Glover Stadium, ""The Battlefield"""
09-11-2026,7:00 PM,Brooks HS,4A,R-7,55,Ardmore HS,4A,R-7,31,Brooks HS
09-11-2026,7:00 PM,Cherokee County HS,4A,R-8,42,A.P. Brewer HS,4A,R-8,7,Cherokee County HS
09-11-2026,7:00 PM,Dale County HS,4A,R-2,41,Straughn HS,4A,R-2,14,Dale County HS
09-11-2026,7:00 PM,Deshler HS,4A,R-7,35,Hamilton HS,4A,R-7,33,Deshler HS
09-11-2026,7:00 PM,Fairfield High School,4A,R-5,0,Shades Valley HS,4A,R-5,13,Fairfield High Preparatory School
09-11-2026,7:00 PM,Fairview HS,4A,R-8,3,Guntersville HS,4A,R-8,7,Fairview HS
09-11-2026,7:00 PM,Greenville HS,4A,R-4,12,Valley HS,4A,R-4,18,Greenville HS
09-11-2026,7:00 PM,Hayden HS,4A,R-8,0,Scottsboro HS,4A,R-8,42,Hayden HS
09-11-2026,7:00 PM,Jacksonville HS,4A,R-6,28,Sylacauga HS,4A,R-6,14,Jacksonville HS
09-11-2026,7:00 PM,Jemison HS,4A,R-3,6,Shelby County HS,4A,R-3,33,Jemison HS
09-11-2026,7:00 PM,Leeds HS,4A,R-6,35,"Central, Clay County HS",4A,R-6,7,Leeds HS
09-11-2026,7:00 PM,LeFlore Magnet HS,4A,R-1,7,Orange Beach HS,4A,R-1,27,LeFlore Magnet HS
09-11-2026,7:00 PM,Lincoln HS,4A,R-6,22,Alexandria HS,4A,R-6,42,Lincoln HS
09-11-2026,7:00 PM,Marbury HS,4A,R-4,47,Tallassee HS,4A,R-4,21,Marbury HS
09-11-2026,7:00 PM,New Brockton HS,4A,R-2,8,Eufaula HS,4A,R-2,36,New Brockton HS
09-11-2026,7:00 PM,Oak Grove HS,4A,R-5,51,Woodlawn HS,4A,R-5,14,Oak Grove HS
09-11-2026,7:00 PM,Opp HS,4A,R-1,12,Jackson HS,4A,R-1,28,Channell-Lee Stadium
09-11-2026,7:00 PM,Priceville HS,4A,R-7,26,Lawrence County HS,4A,R-7,12,Priceville HS
09-11-2026,7:00 PM,Sardis HS,4A,R-8,48,Crossville HS,4A,R-8,6,Sardis HS
09-11-2026,7:00 PM,Sipsey Valley HS,4A,R-3,14,Selma HS,4A,R-3,20,Sipsey Valley HS
09-11-2026,7:00 PM,Vigor HS,4A,R-1,21,Citronelle HS,4A,R-1,33,Vigor HS
09-11-2026,7:00 PM,Wenonah HS,4A,R-5,60,Dora HS,4A,R-5,6,Wenonah HS
09-11-2026,7:00 PM,West Morgan HS,4A,R-7,60,West Point HS,4A,R-7,12,West Morgan HS
09-11-2026,7:00 PM,Asbury HS,3A,R-8,0,New Hope HS,3A,R-8,57,Asbury HS
09-11-2026,7:00 PM,Beulah HS,3A,R-2,49,Geneva HS,3A,R-2,35,Beulah HS
09-11-2026,7:00 PM,Bibb County HS,3A,R-3,42,Cordova HS,3A,R-3,14,Bibb County HS
09-11-2026,7:00 PM,Booker T. Washington HS,3A,R-2,36,Daleville HS,3A,R-2,14,"Booker T. Washington HS, Tuskegee"
09-11-2026,7:00 PM,Bullock County HS,3A,R-2,35,Pike County HS,3A,R-2,20,Bullock County HS
09-11-2026,7:00 PM,"Central HS, Florence",3A,R-7,21,Lauderdale County HS,3A,R-7,20,"Central HS, Florence"
09-11-2026,7:00 PM,Childersburg HS,3A,R-4,20,Ashville HS,3A,R-4,13,Childersburg HS
09-11-2026,7:00 PM,Cleburne County HS,3A,R-4,48,Talladega HS,3A,R-4,8,LE Bell Field
09-11-2026,7:00 PM,Clements HS,3A,R-7,7,Rogers HS,3A,R-7,48,Clements HS
09-11-2026,7:00 PM,Corner HS,3A,R-3,26,Pleasant Grove HS,3A,R-3,33,Corner HS
09-11-2026,7:00 PM,Danville HS,3A,R-5,0,Haleyville HS,3A,R-5,55,Danville HS
09-11-2026,7:00 PM,East Lawrence HS,3A,R-5,34,Oakman HS,3A,R-5,6,East Lawrence HS
09-11-2026,7:00 PM,Elkmont HS,3A,R-7,0,Wilson HS,3A,R-7,49,Elkmont HS
09-11-2026,7:00 PM,Etowah HS,3A,R-6,30,Glencoe HS,3A,R-6,0,Etowah HS Football Stadium
09-11-2026,7:00 PM,Excel HS,3A,R-1,24,W.S. Neal HS,3A,R-1,61,Excel HS
09-11-2026,7:00 PM,Fayette County HS,3A,R-5,47,Curry HS,3A,R-5,0,Fayette County HS
09-11-2026,7:00 PM,Flomaton HS,3A,R-1,14,T.R. Miller HS,3A,R-1,28,Flomaton HS
09-11-2026,7:00 PM,Hanceville HS,3A,R-6,0,Holly Pond HS,3A,R-6,50,Hanceville HS
09-11-2026,7:00 PM,Handley HS,3A,R-4,41,White Plains HS,3A,R-4,21,Handley HS
